# Uncovered words (".word" gap) in code window 0x800..0x60000 — 60E0FC00
# covered=182998 words  uncovered=12586 words  coverage=93.565%
# forced-to-.word real instructions: 377

category,words,clusters
data:jump_table,45,15
data:literal_pool,272,152
data:padding,704,56
data:padding_pattern,1357,582
data:padding_single,769,769
data:pool_single,6185,6185
data:pool_unclassified,1807,664
data:run_unclassified,705,235
data:single_unref,454,454
data:string,6,3
data:table_member,63,63
data:unknown_data,211,45
label_on_data,8,8

FORCED INSTRUCTION MNEMONICS (real code, zero-cost recoverable):
  mov.l        292
  mulr         35
  movmu.l      28
  ldc.l        6
  divu         4
  ldc          3
  stc          3
  stc.l        2
  divs         2
  mov.b        1
  mov.w        1


CLUSTERS (start,end,words,category,pcrel_refs,branch_refs,labels,function):
0x86C,0x86C,1,data:pool_single,1,0,1,FUN_00000806
0x870,0x878,5,data:literal_pool,3,0,3,FUN_00000806
0x8AE,0x8B0,2,data:padding,1,0,1,FUN_0000087c
0x99C,0x99C,1,data:pool_single,1,0,1,FUN_000008f6
0x9B0,0x9B4,3,data:literal_pool,2,0,2,FUN_000008f6
0x9B8,0x9B8,1,data:pool_single,1,0,1,FUN_000008f6
0x9BC,0x9BC,1,data:pool_single,1,0,1,FUN_000008f6
0xAEC,0xAEC,1,data:pool_single,1,0,1,FUN_00000ace
0xB0E,0xFDE,617,data:padding,3,1,4,FUN_00000ace
0xFE2,0xFE2,1,data:padding_single,0,0,0,FUN_00000ace
0xFEA,0xFF6,7,data:unknown_data,0,0,0,FUN_00000ace
0xFFE,0x1000,2,data:padding,0,0,0,FUN_00000ace
0x1004,0x1006,2,data:run_unclassified,0,0,0,FUN_00000ace
0x1034,0x1036,2,data:literal_pool,1,0,1,FUN_00001008
0x1086,0x1086,1,data:padding_single,0,0,0,reset_ZERO
0x1096,0x1098,2,data:padding_pattern,1,0,1,FUN_00001090
0x1198,0x1198,1,data:pool_single,1,0,1,FUN_00001182
0x119E,0x119E,1,data:pool_single,1,0,1,FUN_00001182
0x11A6,0x11A6,1,data:pool_single,1,0,1,FUN_00001182
0x11AA,0x11AC,2,data:padding_pattern,1,0,1,FUN_00001182
0x11B0,0x11B0,1,data:pool_single,1,0,1,FUN_00001182
0x11B4,0x11B4,1,data:pool_single,1,0,1,FUN_00001182
0x11B8,0x11B8,1,data:pool_single,1,0,1,FUN_00001182
0x11BC,0x11BC,1,data:pool_single,1,0,1,FUN_00001182
0x11C0,0x11C0,1,data:pool_single,1,0,1,FUN_00001182
0x1282,0x1284,2,data:padding_pattern,1,0,1,FUN_00001272
0x1288,0x1288,1,data:pool_single,1,0,1,FUN_00001272
0x128C,0x128C,1,data:pool_single,1,0,1,FUN_00001272
0x1290,0x1294,3,data:padding_pattern,2,0,2,FUN_00001272
0x1354,0x1358,3,data:padding_pattern,2,0,2,FUN_000012a2
0x135C,0x135C,1,data:pool_single,1,0,1,FUN_000012a2
0x1360,0x1360,1,data:pool_single,1,0,1,FUN_000012a2
0x1444,0x1444,1,data:pool_single,1,0,1,seemsImportant
0x14F6,0x14F6,1,data:pool_single,1,0,1,seemsImportant
0x1508,0x1508,1,data:pool_single,1,0,1,seemsImportant
0x1612,0x1614,2,data:padding_pattern,1,0,1,FUN_000015a6
0x1618,0x161C,3,data:padding_pattern,2,0,2,FUN_000015a6
0x1620,0x1620,1,data:pool_single,1,0,1,FUN_000015a6
0x16CA,0x16CC,2,data:pool_unclassified,2,0,2,FUN_00001654
0x16D0,0x16D0,1,data:pool_single,1,0,1,FUN_00001654
0x16D4,0x16D4,1,data:pool_single,1,0,1,FUN_00001654
0x16D8,0x16D8,1,data:pool_single,1,0,1,FUN_00001654
0x17D2,0x17D4,2,data:padding_pattern,1,0,1,FUN_00001774
0x17D8,0x17D8,1,data:pool_single,1,0,1,FUN_00001774
0x17DC,0x17DC,1,data:pool_single,1,0,1,FUN_00001774
0x17E0,0x17E0,1,data:pool_single,1,0,1,FUN_00001774
0x17E4,0x17E4,1,data:pool_single,1,0,1,FUN_00001774
0x17E8,0x17E8,1,data:pool_single,1,0,1,FUN_00001774
0x17EC,0x17EC,1,data:pool_single,1,0,1,FUN_00001774
0x18F0,0x18F0,1,data:pool_single,1,0,1,FUN_00001858
0x18F6,0x18F8,2,data:padding_pattern,1,0,1,FUN_00001858
0x18FC,0x18FC,1,data:pool_single,1,0,1,FUN_00001858
0x1900,0x1900,1,data:pool_single,1,0,1,FUN_00001858
0x1904,0x1904,1,data:pool_single,1,0,1,FUN_00001858
0x19F0,0x19F0,1,data:pool_single,1,0,1,FUN_000019ce
0x19FA,0x19FC,2,data:padding_pattern,1,0,1,FUN_000019ce
0x1A00,0x1A00,1,data:pool_single,1,0,1,FUN_000019ce
0x1A04,0x1A04,1,data:pool_single,1,0,1,FUN_000019ce
0x1B02,0x1B04,2,data:pool_unclassified,2,0,2,FUN_00001ad6
0x1B08,0x1B0C,3,data:pool_unclassified,2,0,2,FUN_00001ad6
0x1B10,0x1B10,1,data:pool_single,1,0,1,FUN_00001ad6
0x1B14,0x1B14,1,data:pool_single,1,0,1,FUN_00001ad6
0x1BD8,0x1BD8,1,data:pool_single,1,0,1,FUN_00001ad6
0x1BDC,0x1BDC,1,data:pool_single,1,0,1,FUN_00001ad6
0x1BE0,0x1BE0,1,data:pool_single,1,0,1,FUN_00001ad6
0x1BE4,0x1BE4,1,data:pool_single,1,0,1,FUN_00001ad6
0x1BE8,0x1BE8,1,data:pool_single,1,0,1,FUN_00001ad6
0x1BF0,0x1BF0,1,data:pool_single,1,0,1,FUN_00001ad6
0x1BF4,0x1BF4,1,data:pool_single,1,0,1,FUN_00001ad6
0x1BF8,0x1BF8,1,data:pool_single,1,0,1,FUN_00001ad6
0x1BFC,0x1BFC,1,data:pool_single,1,0,1,FUN_00001ad6
0x1C00,0x1C00,1,data:pool_single,1,0,1,FUN_00001ad6
0x1D04,0x1D04,1,data:pool_single,1,0,1,FUN_00001c04
0x1D0A,0x1D0C,2,data:padding_pattern,1,0,1,FUN_00001c04
0x1D10,0x1D10,1,data:pool_single,1,0,1,FUN_00001c04
0x1D14,0x1D14,1,data:pool_single,1,0,1,FUN_00001c04
0x1D18,0x1D18,1,data:pool_single,1,0,1,FUN_00001c04
0x1D1C,0x1D1C,1,data:pool_single,1,0,1,FUN_00001c04
0x1D20,0x1D20,1,data:pool_single,1,0,1,FUN_00001c04
0x1D24,0x1D24,1,data:pool_single,1,0,1,FUN_00001c04
0x1D28,0x1D28,1,data:pool_single,1,0,1,FUN_00001c04
0x1D2C,0x1D2C,1,data:pool_single,1,0,1,FUN_00001c04
0x1E12,0x1E14,2,data:pool_unclassified,2,0,2,FUN_00001d78
0x1E18,0x1E1C,3,data:pool_unclassified,2,0,2,FUN_00001d78
0x1E20,0x1E20,1,data:pool_single,1,0,1,FUN_00001d78
0x1E24,0x1E24,1,data:pool_single,1,0,1,FUN_00001d78
0x1E28,0x1E28,1,data:pool_single,1,0,1,FUN_00001d78
0x1E2C,0x1E2C,1,data:pool_single,1,0,1,FUN_00001d78
0x1E30,0x1E30,1,data:pool_single,1,0,1,FUN_00001d78
0x1E90,0x1E90,1,data:pool_single,1,0,1,FUN_00001e72
0x1FC0,0x1FC0,1,data:pool_single,1,0,1,FUN_00001fbc
0x1FF4,0x1FF6,2,data:unknown_data,0,0,0,FUN_00001fe2
0x1FFA,0x1FFE,3,data:unknown_data,0,0,0,FUN_00001fe2
0x2002,0x2002,1,data:string,0,0,0,FUN_00001fe2
0x2028,0x202C,3,data:string,2,0,2,FUN_00001fe2
0x2032,0x2032,1,data:padding_single,0,0,0,FUN_00001fe2
0x2042,0x2042,1,data:padding_single,0,0,0,FUN_00002034
0x2052,0x2052,1,data:padding_single,0,0,0,invertAndReturn_8bit_ADDR
0x2098,0x2098,1,data:pool_single,1,0,1,2DLookup
0x209C,0x209C,1,data:padding_single,0,0,0,2DLookup
0x20A0,0x20A0,1,data:padding_single,0,0,0,2DLookup
0x20A4,0x20A4,1,data:padding_single,0,0,0,2DLookup
0x20A8,0x20A8,1,data:padding_single,0,0,0,2DLookup
0x210C,0x210C,1,data:pool_single,1,0,1,3dLookup
0x2110,0x2110,1,data:padding_single,0,0,0,3dLookup
0x2114,0x2114,1,data:padding_single,0,0,0,3dLookup
0x2118,0x2118,1,data:padding_single,0,0,0,3dLookup
