kind,start,end,class,src,motivo
data,389498,389500,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389510,389512,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389546,389548,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389570,389572,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389582,389584,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389594,389596,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389630,389632,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389702,389704,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389750,389752,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389762,389764,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389774,389776,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389798,389800,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389810,389812,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389834,389836,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389846,389848,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389858,389860,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389870,389872,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389882,389884,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389906,389908,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389918,389920,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389930,389932,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389942,389944,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389954,389956,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389966,389968,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389978,389980,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,389990,389992,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390002,390004,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390014,390016,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390026,390028,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
