kind,start,end,class,src,motivo
data,383594,383600,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383630,383636,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383646,383648,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383690,383696,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383702,383708,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383738,383744,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383762,383768,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383774,383780,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383786,383792,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383826,383828,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383850,383852,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383862,383864,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383874,383876,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383886,383888,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383898,383900,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383922,383924,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383934,383936,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383946,383948,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383958,383960,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383970,383972,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,383994,383996,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384006,384008,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384018,384020,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384030,384032,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384054,384056,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384066,384068,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384078,384080,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384090,384092,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384102,384104,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384114,384116,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384126,384128,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384138,384140,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384150,384152,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384162,384164,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384174,384176,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384186,384188,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384198,384200,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384306,384308,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384318,384320,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384330,384332,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384342,384344,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384354,384356,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384366,384368,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384378,384380,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384390,384392,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384402,384404,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384414,384416,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384426,384428,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384438,384440,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384450,384452,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384462,384464,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384474,384476,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
