kind,start,end,class,src,motivo
data,386234,386236,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386246,386248,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386294,386296,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386318,386320,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386330,386332,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386342,386344,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386354,386356,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386366,386368,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386378,386380,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386390,386392,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386402,386404,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386438,386440,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386462,386464,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386474,386476,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386486,386488,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386522,386524,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386534,386536,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386582,386584,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386594,386596,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386642,386644,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386666,386668,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386690,386692,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386702,386704,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386726,386728,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386738,386740,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386750,386752,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386762,386764,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386774,386776,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386798,386800,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386810,386812,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386822,386824,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386834,386836,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386846,386848,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386858,386860,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386870,386872,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386882,386884,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386894,386896,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386906,386908,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386918,386920,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386930,386932,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386942,386944,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386954,386956,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386966,386968,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386978,386980,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,386990,386992,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387002,387004,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387014,387016,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387026,387028,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387038,387040,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387050,387052,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387062,387064,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387074,387076,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387110,387112,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387122,387124,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387134,387136,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387146,387148,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387158,387160,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387170,387172,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387182,387184,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387194,387196,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387206,387208,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387218,387220,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387230,387232,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387242,387244,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387254,387256,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387266,387268,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387278,387280,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387290,387292,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387302,387304,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387326,387328,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387338,387340,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387350,387352,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387362,387364,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387374,387376,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387476,387478,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387490,387522,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387538,387540,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387550,387558,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387574,387576,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387598,387606,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
