address,proposed_name,confidence,source,notes
0xffffa7b0,fpu_multiply_accumulate_filter,medium,function_names,fns: fpu_multiply_accumulate_filter_a7b0 (x1); cats: Math / FPU(x1)
0xffffa82c,ram_a82c,low,function_names+renames,fns: idle_lookup_gated_a82c (x1); roles: idle_lookup_gated_a82c; cats: Idle Control(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffa830,uds_mode22,high,function_names+renames,fns: uds_mode22_get_a830_16bit (x1); roles: uds_mode22_get_a830_16bit; cats: OBD / UDS(x1)
0xffffa848,ram_a848,low,renames,roles: float_map_3pt_calc
0xffffa880,idle_cal_byte_load,high,function_names+renames,fns: idle_cal_byte_load_a880 (x1); roles: idle_cal_byte_load_a880; cats: Boot & Init(x1)
0xffffa884,ram_a884,low,function_names+renames,fns: idle_corr_sum_add_a884 (x1); roles: idle_corr_sum_add_a884; cats: Idle Control(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffa888,idle_learned_float_load,high,function_names+renames,fns: idle_learned_float_load_a888 (x1); roles: idle_learned_float_load_a888; cats: Idle Control(x1)
0xffffa898,float_to_ram,high,function_names+renames,fns: add_float_to_ram_a898 (x1); roles: idle_target_rpm_calc; cats: Memory & CRC(x1)
0xffffa89c,read_write_to_ram,high,function_names+renames,fns: read_adc_write_to_ram_a89c (x1); roles: idle_target_rpm_calc; cats: Sensors(x1)
0xffffa8a8,ram_a8a8,low,function_names,fns: divide_float_write_to_a8a8 (x1); cats: Math / FPU(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffa8b8,ram_a8b8,low,renames,roles: idle_state_guard_eval
0xffffa8bb,state_byte_latch,high,function_names+renames,fns: state_byte_latch_a8bb (x1); roles: state_byte_latch_a8bb; idle_state_guard_eval; cats: Boot & Init(x1)
0xffffa8c4,set_float_one,high,function_names+renames,fns: set_float_one_a8c4 (x1); roles: set_float_one_a8c4; idle_cal_select_apply; cats: Boot & Init(x1)
0xffffa8cf,copy_rotor_sync_status,medium,function_names,fns: copy_rotor_sync_status_to_a8cf (x1); cats: Memory & CRC(x1)
0xffffa8d8,init_unity,high,function_names+renames,fns: init_unity_to_a8d8 (x1); roles: sensor_minval_low_saturate; cats: Boot & Init(x1)
0xffffa8e4,takes_min_of_float_sensors,medium,renames,roles: sensor_minval_low_saturate; ctx: takes_min_of_float_sensors(x1)
0xffffa8ec,ram_a8ec,low,renames,roles: fault_float_state_init
0xffffa91c,ram_a91c,low,renames,roles: sensor_minval_low_saturate
0xffffa950,ram_a950,low,renames,roles: omp_knock_periodic_dispatch
0xffffa960,ram_a960,low,function_names+renames,fns: uds_byte_getter_a960 (x1); roles: uds_byte_getter_a960; cats: OBD / UDS(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffa962,ram_a962,low,function_names+renames,fns: uds_fault_status_mask_getter_a962 (x1); roles: uds_fault_status_mask_getter_a962; cats: OBD / UDS(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffa967,ram_a967,low,renames,roles: stepper_mode6_wrapper
0xffffa968,ram_a968,low,renames,roles: aux_ctrl_flags_write_a968_a976; stepper_step_coil_driver
0xffffa96c,ram_a96c,low,renames,roles: stepper_home_pos_check
0xffffa976,aux_ctrl_flags_write,high,function_names+renames,fns: aux_ctrl_flags_write_a968_a976 (x1); roles: aux_ctrl_flags_write_a968_a976; cats: Boot & Init(x1)
0xffffa977,dispatches_on_state,medium,renames,roles: stepper_state_driver; ctx: dispatches_on_state(x1)
0xffffa9b0,ram_a9b0,low,renames,roles: throttle_pos_learn_update
0xffffa9b8,compares,medium,renames,roles: throttle_home_condition; ctx: compares(x1)
0xffffa9bc,ram_a9bc,low,renames,roles: throttle_learn_timer
0xffffa9c0,ram_a9c0,low,function_names+renames,fns: ram_flags_a9c0_zero_init (x1); roles: ram_flags_a9c0_zero_init; cats: Boot & Init(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffa9c1,ram_a9c1,low,renames,roles: load_calc_state_machine; dtc_fault_type_flags_set; ram_flags_a9c0_zero_init
0xffffa9c6,ram_a9c6,low,renames,roles: ram_flags_a9c0_zero_init
0xffffa9ca,ram_a9ca,low,renames,roles: status_copy_latch_flag
0xffffa9cc,ram_a9cc,low,renames,roles: load_calc_state_machine
0xffffa9d0,ram_a9d0,low,function_names+renames,fns: uds_fault_status_mask_getter_a9d0 (x1); roles: uds_fault_status_mask_getter_a9d0; cats: OBD / UDS(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffa9d5,ram_a9d5,low,renames,roles: status_flags_byte_pack
0xffffa9db,ram_a9db,low,renames,roles: fault_condition_flag_eval; clt_sensor_fault_flags_update
0xffffa9e0,clt_fault_flags,high,known+renames,CLT fault flags/counters 0xFFFFA9E0-A9F3; roles: clt_sensor_fault_flags_update
