addr,end,name,source,flag
0x0024C0,0x0024D0,fixedPointToFloat_16bit_MULT_OFF_SIG,ghidra-hand,
0x0024D0,0x002500,floatToInt_SIGNAL_MULT_OFFSET,ghidra-hand,
0x002500,0x002510,fixedPointToFloat_8bit_MULT_OFF_SIG,ghidra-hand,
0x002510,0x00253C,interp_bilinear_weight_calc,ghidra-hand,
0x00253C,0x00256C,interpolate_floatTable,ghidra-hand,
0x00256C,0x002598,lookup_char,ghidra-hand,
0x002598,0x0025C8,lookup_short,ghidra-hand,
0x0025C8,0x0025F4,interpolate_8bitTable,ghidra-hand,
0x0025F4,0x002624,interpolate_3d_uint16,ghidra-hand,
0x002624,0x002658,dataLookup,ghidra-hand,
0x002658,0x002678,indexLookupSomething,ghidra-hand,
0x002678,0x002690,interpolate_floatTable,ghidra-hand,
0x002690,0x0026B0,interpolate_shortTable,ghidra-hand,
0x0026B0,0x0026D0,interpolate_uint8Table,ghidra-hand,
0x0026D0,0x0026F4,interpolate_uint16Table,ghidra-hand,
0x0026F4,0x003238,interpolate_charTable,ghidra-hand,
0x003238,0x003280,task_context_save_enter,ida-ai-xmap,DUBIOUS
0x003280,0x0033B6,FUN_00003280,ghidra-auto,
0x0033B6,0x003490,FUN_000033b6,ghidra-auto,
0x003490,0x003588,FUN_00003490,ghidra-auto,
0x003588,0x0035CC,FUN_00003588,ghidra-auto,
0x0035CC,0x0035EE,task_flag_run_B,ida-ai-xmap,DUBIOUS
0x0035EE,0x003610,FUN_000035ee,ghidra-auto,
0x003610,0x0036D4,interrupt_priority_dispatch,ida-ai-xmap,DUBIOUS
0x0036D4,0x00375C,FUN_000036d4,ghidra-auto,
0x00375C,0x003854,FUN_0000375c,ghidra-auto,
0x003854,0x003920,task_execute_by_index,ida-ai-xmap,DUBIOUS
0x003920,0x003934,getSR,ghidra-hand,
0x003934,0x003954,setSR,ghidra-hand,
0x003954,0x003964,FUN_00003954,ghidra-auto,
0x003964,0x0039BA,task_queue_init,ida-ai-xmap,DUBIOUS
0x0039BA,0x003A28,FUN_000039ba,ghidra-auto,
0x003A28,0x003AC0,consistencyCheck,ghidra-hand,
0x003AC0,0x003AD8,task_set_current_ptr,ida-ai-xmap,DUBIOUS
0x003AD8,0x003BF4,task_context_switch,ida-ai-xmap,DUBIOUS
0x003BF4,0x003C2A,task_full_context_save,ida-ai-xmap,DUBIOUS
0x003C2A,0x003C68,FUN_00003c2a,ghidra-auto,
0x003C68,0x003C80,FUN_00003c68,ghidra-auto,
0x003C80,0x003D58,task_priority_scheduler,ghidra-hand,
0x003D58,0x003DAC,task_completion_handler,ghidra-hand,
0x003DAC,0x003DB0,FUN_00003dac,ghidra-auto,
0x003DB0,0x003E10,FUN_00003db0,ghidra-auto,
0x003E10,0x003EC0,FUN_00003e10,ghidra-auto,
0x003EC0,0x003F10,task_table_scan_init,ida-ai-xmap,DUBIOUS
0x003F10,0x003F88,task_dependency_handler,ida-ai-xmap,DUBIOUS
0x003F88,0x003F8C,FUN_00003f88,ghidra-auto,
0x003F8C,0x003F90,FUN_00003f8c,ghidra-auto,
0x003F90,0x003F9C,FUN_00003f90,ghidra-auto,
0x003F9C,0x003FA8,FUN_00003f9c,ghidra-auto,
0x003FA8,0x003FB0,FUN_00003fa8,ghidra-auto,
0x003FB0,0x003FE8,task_ready_check,ida-ai-xmap,DUBIOUS
0x003FE8,0x00409C,div32_signed,ida-ai-xmap,DUBIOUS
0x00409C,0x004144,div32_unsigned,ida-ai-xmap,DUBIOUS
0x004144,0x00420C,mod32_signed,ghidra-hand,
0x00420C,0x004218,div_trampoline_A,ida-ai-xmap,DUBIOUS
0x004218,0x0042B0,div_trampoline_B,ida-ai-xmap,DUBIOUS
0x0042B0,0x004308,memcpy_bytewise_unroll4,ida-ai-xmap,DUBIOUS
0x004308,0x0043C8,FUN_00004308,ghidra-auto,
0x0043C8,0x0044E0,shift_right_arithmetic_r0,ida-ai-xmap,DUBIOUS
0x0044E0,0x00467A,FUN_000044e0,ghidra-auto,
0x00467A,0x0046CC,shift_right_8_r0,ida-ai-xmap,DUBIOUS
0x0046CC,0x004740,checkFloatValidity?,ghidra-hand,
0x004740,0x004812,mul16_signed_saturated,ida-ai-xmap,DUBIOUS
0x004812,0x00481C,FUN_00004812,ghidra-auto,
0x00481C,0x0048C8,fixedpoint_scale_s16,ida-ai-xmap,DUBIOUS
0x0048C8,0x004B64,FUN_000048c8,ghidra-auto,
0x004B64,0x004B7C,FUN_00004b64,ghidra-auto,
