bank,addr,end,src_name,source,flag,lift_name,verified,also_sources,category
60E0E500,0x002510,0x0025C8,FUN_002510,derived,,,YES,,Math / FPU
60E0E500,0x0025c8,0x0025F4,FUN_0025c8,derived,,,YES,,Math / FPU
60E0E500,0x0025f4,0x002624,FUN_0025f4,derived,,,YES,,Math / FPU
60E0E500,0x002624,0x002658,FUN_002624,derived,,,YES,,Math / FPU
60E0E500,0x002658,0x002678,FUN_002658,derived,,interp_leaves,YES,,Math / FPU
60E0E500,0x002678,0x002690,FUN_002678,derived,,,YES,,Math / FPU
60E0E500,0x002690,0x0026B0,FUN_002690,derived,,,,,Math / FPU
60E0E500,0x0026b0,0x0026D0,FUN_0026b0,derived,,,YES,,Math / FPU
60E0E500,0x0026d0,0x0026F4,FUN_0026d0,derived,,,YES,,Math / FPU
60E0E500,0x0026f4,0x003238,FUN_0026f4,derived,,,,,Math / FPU
60E0E500,0x003238,0x003280,FUN_003238,derived,,,,,RTOS
60E0E500,0x003280,0x003588,FUN_003280,derived,,,,,RTOS
60E0E500,0x003588,0x0035CC,FUN_003588,derived,,,,,RTOS
60E0E500,0x0035cc,0x0035EE,FUN_0035cc,derived,,,,,RTOS
60E0E500,0x0035ee,0x003610,FUN_0035ee,derived,,task_flag_run_C,YES,,RTOS
60E0E500,0x003610,0x00366E,FUN_003610,derived,,,,,RTOS
60E0E500,0x00366e,0x00375C,FUN_00366e,derived,,,,,RTOS
60E0E500,0x00375c,0x003848,FUN_00375c,derived,,,,,RTOS
60E0E500,0x003848,0x003854,FUN_003848,derived,,,,,RTOS
60E0E500,0x003854,0x003920,FUN_003854,derived,,task_execute_by_index,YES,,RTOS
60E0E500,0x003920,0x003934,getSR,ghidra-hand-xmap,,caller,YES,,Memory & CRC
60E0E500,0x003934,0x003954,setSR,ghidra-hand-xmap,,setSR,YES,,Memory & CRC
60E0E500,0x003954,0x003964,FUN_003954,derived,,,,,Memory & CRC
60E0E500,0x003964,0x0039BA,FUN_003964,derived,,,,,RTOS
60E0E500,0x0039ba,0x003A28,FUN_0039ba,derived,,,,,RTOS
60E0E500,0x003a28,0x003AC0,consistencyCheck,ghidra-hand-xmap,,consistencyCheck,YES,,Memory & CRC
60E0E500,0x003ac0,0x003AD8,FUN_003ac0,derived,,,,,RTOS
60E0E500,0x003ad8,0x003BF4,FUN_003ad8,derived,,task_context_switch,YES,,RTOS
60E0E500,0x003bf4,0x003C2A,FUN_003bf4,derived,,task_full_context_save,YES,,RTOS
60E0E500,0x003c2a,0x003C58,FUN_003c2a,derived,,,,,RTOS
60E0E500,0x003c58,0x003C80,FUN_003c58,derived,,,,,RTOS
60E0E500,0x003c80,0x003D48,task_priority_scheduler,ghidra-hand-xmap,,,,,RTOS
60E0E500,0x003d48,0x003D50,FUN_003d48,derived,,,,,RTOS
60E0E500,0x003d50,0x003D58,FUN_003d50,derived,,,,,RTOS
60E0E500,0x003d58,0x003DAC,task_completion_handler,ghidra-hand-xmap,,taskEndRoutine,YES,,RTOS
60E0E500,0x003dac,0x003DB0,FUN_003dac,derived,NOISE,,,,RTOS
60E0E500,0x003db0,0x003E10,FUN_003db0,derived,,os_context_switch,YES,,RTOS
60E0E500,0x003e10,0x003EC0,FUN_003e10,derived,,init_main,YES,,Boot & Init
60E0E500,0x003ec0,0x003F10,FUN_003ec0,derived,,,,,RTOS
60E0E500,0x003f10,0x003F88,FUN_003f10,derived,,,,,RTOS
60E0E500,0x003f88,0x003F8C,FUN_003f88,derived,NOISE,,,,RTOS
60E0E500,0x003f8c,0x003F90,FUN_003f8c,derived,,rtos_noop_stub_3f8c,,,RTOS
60E0E500,0x003f90,0x003F9C,FUN_003f90,derived,,clear_task_flag_dc,,,RTOS
60E0E500,0x003f9c,0x003FA8,FUN_003f9c,derived,,clear_task_flag_dd,,,RTOS
60E0E500,0x003fa8,0x003FB0,FUN_003fa8,derived,,,,,RTOS
60E0E500,0x003fb0,0x003FE8,FUN_003fb0,derived,,,,,RTOS
60E0E500,0x003fe8,0x00409C,FUN_003fe8,derived,,div32_signed,YES,,Ignition & Knock
60E0E500,0x00409c,0x004144,FUN_00409c,derived,,div32_unsigned,YES,,Ignition & Knock
60E0E500,0x004144,0x00420C,mod32_signed,ghidra-hand-xmap,,caller,YES,,Ignition & Knock
60E0E500,0x00420c,0x004218,FUN_00420c,derived,,,,,Memory & CRC
60E0E500,0x004218,0x00426C,FUN_004218,derived,,,,,Memory & CRC
60E0E500,0x00426c,0x0042B0,FUN_00426c,derived,,,,,Memory & CRC
60E0E500,0x0042b0,0x0042E8,FUN_0042b0,derived,,memcpy_bytewise_unroll4,YES,,Memory & CRC
60E0E500,0x0042e8,0x004308,FUN_0042e8,derived,,,,,Memory & CRC
60E0E500,0x004308,0x004332,FUN_004308,derived,,shift_left_logical_r0,YES,,Utilities
60E0E500,0x004332,0x0043C0,FUN_004332,derived,,,,,Utilities
60E0E500,0x0043c0,0x0043C8,FUN_0043c0,derived,,,,,Boot & Init
60E0E500,0x0043c8,0x004446,FUN_0043c8,derived,,shift_right_arithmetic_r0,YES,,Utilities
60E0E500,0x004446,0x0044C0,FUN_004446,derived,,,,,Utilities
60E0E500,0x0044c0,0x0044E0,FUN_0044c0,derived,,,,,Memory & CRC
60E0E500,0x0044e0,0x0044EC,FUN_0044e0,derived,,shift_right_logical_r0,YES,,Utilities
60E0E500,0x0044ec,0x00450A,FUN_0044ec,derived,,,,,Utilities
60E0E500,0x00450a,0x00467A,FUN_00450a,derived,,,,,Utilities
60E0E500,0x00467a,0x0046CC,FUN_00467a,derived,,shift_right_8_r0,YES,,Utilities
60E0E500,0x0046cc,0x004740,checkFloatValidity?,ghidra-hand-xmap,,check_float_validity,YES,,Math / FPU
60E0E500,0x004740,0x00481C,FUN_004740,derived,,div,YES,,Ignition & Knock
60E0E500,0x00481c,0x0048C8,FUN_00481c,derived,,ldexp,YES,,Math / FPU
60E0E500,0x0048c8,0x004938,FUN_0048c8,derived,,bitfield_extract_merge,YES,,Memory & CRC
60E0E500,0x004938,0x00493C,FUN_004938,derived,NOISE,,,,Math / FPU
60E0E500,0x00493c,0x004940,FUN_00493c,derived,NOISE,,,,Memory & CRC
60E0E500,0x004940,0x004990,FUN_004940,derived,,,,,Memory & CRC
60E0E500,0x004990,0x004AC0,FUN_004990,derived,,,,,Math / FPU
