caller_addr,caller_name,callee_addr,callee_name,kind
0x51958,FUN_00051958,0x3E29E,validateAddressCopy_8bit_ADDRESS??,ref
0x51960,FUN_00051960,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51968,FUN_00051968,0x11F54,getKnownBooleanValue??,ref
0x51968,FUN_00051968,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51AAE,FUN_00051aae,0x3E29E,validateAddressCopy_8bit_ADDRESS??,ref
0x51ACC,FUN_00051acc,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51B18,FUN_00051b18,0x5E2FC,FUN_0005e2fc,ref
0x51BCC,FUN_00051bcc,0x3E0DC,readValue_8bit_ADDRESS_VAL,ref
0x51BCC,FUN_00051bcc,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51BCC,FUN_00051bcc,0x5E2FC,FUN_0005e2fc,ref
0x51CA0,FUN_00051ca0,0x3E29E,validateAddressCopy_8bit_ADDRESS??,ref
0x51CBE,FUN_00051cbe,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51CFC,FUN_00051cfc,0x3E0DC,readValue_8bit_ADDRESS_VAL,ref
0x51D78,FUN_00051d78,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51D9C,FUN_00051d9c,0x3E0DC,readValue_8bit_ADDRESS_VAL,ref
0x51D9C,FUN_00051d9c,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51DDE,FUN_00051dde,0x2478,addSaturate8Bit,ref
0x51E06,FUN_00051e06,0x53400,FUN_00053400,ref
0x51EFA,FUN_00051efa,0x3E0DC,readValue_8bit_ADDRESS_VAL,ref
0x51F32,FUN_00051f32,0x3E29E,validateAddressCopy_8bit_ADDRESS??,ref
0x51F44,FUN_00051f44,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51F74,FUN_00051f74,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51FAC,FUN_00051fac,0x3E29E,validateAddressCopy_8bit_ADDRESS??,ref
0x51FB4,FUN_00051fb4,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x51FBC,FUN_00051fbc,0x11F54,getKnownBooleanValue??,ref
0x51FBC,FUN_00051fbc,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x5201C,FUN_0005201c,0x3E29E,validateAddressCopy_8bit_ADDRESS??,ref
0x52024,FUN_00052024,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x52048,FUN_00052048,0x5E2FC,FUN_0005e2fc,ref
0x521D8,FUN_000521d8,0x521EA,FUN_000521ea,bsr
0x521EA,FUN_000521ea,0x3E0DC,readValue_8bit_ADDRESS_VAL,ref
0x5228E,FUN_0005228e,0x52CD4,FUN_00052cd4,ref
0x5228E,FUN_0005228e,0x52D58,FUN_00052d58,ref
0x522F8,FUN_000522f8,0x5E644,updateFaultStatusTHUNK,ref
0x524C0,getTireSizeChecksumthing?,0x38610,getFromE2_E2ADDR_RAMADDR_LEN,ref
0x52502,FUN_00052502,0x652F0,getFaultStatus??,ref
0x52562,FUN_00052562,0x5E644,updateFaultStatusTHUNK,ref
0x525A0,FUN_000525a0,0x38610,getFromE2_E2ADDR_RAMADDR_LEN,ref
0x5263A,FUN_0005263a,0x5E644,updateFaultStatusTHUNK,ref
0x5266C,updateSUBSYSTEMSomethingFault,0x5E644,updateFaultStatusTHUNK,ref
0x52682,FUN_00052682,0x5E644,updateFaultStatusTHUNK,ref
0x52698,setAlternatorFault,0x5E644,updateFaultStatusTHUNK,ref
0x526B8,FUN_000526b8,0x11F54,getKnownBooleanValue??,ref
0x526B8,FUN_000526b8,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x52718,FUN_00052718,0x3E29E,validateAddressCopy_8bit_ADDRESS??,ref
0x52720,FUN_00052720,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x52728,FUN_00052728,0x5E2FC,FUN_0005e2fc,ref
0x527DC,FUN_000527dc,0x11F54,getKnownBooleanValue??,ref
0x527DC,FUN_000527dc,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x52854,FUN_00052854,0x3E29E,validateAddressCopy_8bit_ADDRESS??,ref
0x5285C,FUN_0005285c,0x3E1F8,updateMemoryAtAddress_8bit_ADDR_VAL,ref
0x52864,FUN_00052864,0x5E2FC,FUN_0005e2fc,ref
0x528C4,set_CAN_fault???,0x5E644,updateFaultStatusTHUNK,ref
0x528DA,updateCANFaults,0x5E644,updateFaultStatusTHUNK,ref
0x52A12,udsResponseRelated??,0x67646,FUN_00067646,ref
0x52A36,FUN_00052a36,0x67646,FUN_00067646,ref
0x52A5A,udsErrorResponse,0x66A14,setupForUdsResponse?,ref
0x52AEC,FUN_00052aec,0x54008,FUN_00054008,ref
0x52AEC,FUN_00052aec,0x5415A,FUN_0005415a,ref
0x52AEC,FUN_00052aec,0x54A0C,FUN_00054a0c,ref
0x52AEC,FUN_00052aec,0x5A2F0,FUN_0005a2f0,ref
0x52AEC,FUN_00052aec,0x5C4E8,FUN_0005c4e8,ref
0x52AEC,FUN_00052aec,0x5C9AC,FUN_0005c9ac,ref
0x52B22,FUN_00052b22,0x54008,FUN_00054008,ref
0x52B22,FUN_00052b22,0x5415A,FUN_0005415a,ref
0x52B22,FUN_00052b22,0x546FA,FUN_000546fa,ref
0x52B22,FUN_00052b22,0x54A0C,FUN_00054a0c,ref
0x52B22,FUN_00052b22,0x59808,delay?,ref
0x52B22,FUN_00052b22,0x5A2F0,FUN_0005a2f0,ref
0x52B22,FUN_00052b22,0x5C4E8,FUN_0005c4e8,ref
0x52B22,FUN_00052b22,0x5C9AC,FUN_0005c9ac,ref
0x52B8C,FUN_00052b8c,0x54008,FUN_00054008,ref
0x52B8C,FUN_00052b8c,0x5415A,FUN_0005415a,ref
