addr,end,name,source,flag
0x0044E0,0x0044EC,FUN_0044e0,derived,
0x0044EC,0x00450A,FUN_0044ec,derived,
0x00450A,0x00467A,FUN_00450a,derived,
0x00467A,0x0046CC,FUN_00467a,derived,
0x0046CC,0x004740,checkFloatValidity?,ghidra-hand-xmap,
0x004740,0x00481C,FUN_004740,derived,
0x00481C,0x0048C8,FUN_00481c,derived,
0x0048C8,0x004938,FUN_0048c8,derived,
0x004938,0x00493C,FUN_004938,derived,
0x00493C,0x004940,FUN_00493c,derived,
0x004940,0x004990,FUN_004940,derived,
0x004990,0x004AC0,FUN_004990,derived,
0x004AC0,0x004AEC,FUN_004ac0,derived,
0x004AEC,0x004AF4,FUN_004aec,derived,
0x004AF4,0x004AF8,FUN_004af4,derived,
0x004AF8,0x004B00,FUN_004af8,derived,
0x004B00,0x004B04,FUN_004b00,derived,
0x004B04,0x004B08,FUN_004b04,derived,
0x004B08,0x004B0C,FUN_004b08,derived,
0x004B0C,0x004B10,FUN_004b0c,derived,
0x004B10,0x004B14,FUN_004b10,derived,
0x004B14,0x004B18,FUN_004b14,derived,
0x004B18,0x004B24,FUN_004b18,derived,
0x004B24,0x004B34,FUN_004b24,derived,
0x004B34,0x004B44,FUN_004b34,derived,
0x004B44,0x004BBC,FUN_004b44,derived,
0x004BBC,0x004C14,setRegister_REG_BIT_VAL,ghidra-hand-xmap,
0x004C14,0x004C70,FUN_004c14,derived,
0x004C70,0x004C76,FUN_004c70,derived,
0x004C76,0x004C7A,FUN_004c76,derived,
0x004C7A,0x004C80,FUN_004c7a,derived,
0x004C80,0x004CB6,FUN_004c80,derived,
0x004CB6,0x004CF0,FUN_004cb6,derived,
0x004CF0,0x004D2E,FUN_004cf0,derived,
0x004D2E,0x004DEA,setRegisters,ghidra-hand-xmap,
0x004DEA,0x004DEE,FUN_004dea,derived,
0x004DEE,0x004E06,FUN_004dee,derived,
0x004E06,0x004E0A,FUN_004e06,derived,
0x004E0A,0x004E0E,FUN_004e0a,derived,
0x004E0E,0x004E12,FUN_004e0e,derived,
0x004E12,0x004E6C,FUN_004e12,derived,
0x004E6C,0x004F00,FUN_004e6c,derived,
0x004F00,0x004FD6,FUN_004f00,derived,
0x004FD6,0x005020,FUN_004fd6,derived,
0x005020,0x005024,FUN_005020,derived,
0x005024,0x005032,writeWatchdog_disable?,ghidra-hand-xmap,
0x005032,0x005036,FUN_005032,derived,
0x005036,0x00503A,FUN_005036,derived,
0x00503A,0x00503E,FUN_00503a,derived,
0x00503E,0x005056,FUN_00503e,derived,
0x005056,0x00505A,FUN_005056,derived,
0x00505A,0x00505E,FUN_00505a,derived,
0x00505E,0x005062,FUN_00505e,derived,
0x005062,0x0050A6,FUN_005062,derived,
0x0050A6,0x0050AA,FUN_0050a6,derived,
0x0050AA,0x0051C8,FUN_0050aa,derived,
0x0051C8,0x00522A,FUN_0051c8,derived,
0x00522A,0x00528E,FUN_00522a,derived,
0x00528E,0x005292,FUN_00528e,derived,
0x005292,0x005348,FUN_005292,derived,
0x005348,0x0053C6,FUN_005348,derived,
0x0053C6,0x0053D2,FUN_0053c6,derived,
0x0053D2,0x0053DE,FUN_0053d2,derived,
0x0053DE,0x0053EA,FUN_0053de,derived,
0x0053EA,0x0053F6,FUN_0053ea,derived,
0x0053F6,0x005402,FUN_0053f6,derived,
0x005402,0x00540E,FUN_005402,derived,
0x00540E,0x00541A,FUN_00540e,derived,
0x00541A,0x005426,FUN_00541a,derived,
0x005426,0x005434,FUN_005426,derived,
0x005434,0x005474,FUN_005434,derived,
0x005474,0x005482,FUN_005474,derived,
0x005482,0x005490,FUN_005482,derived,
0x005490,0x00549A,FUN_005490,derived,
0x00549A,0x0054A6,FUN_00549a,derived,
0x0054A6,0x0054B2,FUN_0054a6,derived,
0x0054B2,0x0054BE,FUN_0054b2,derived,
0x0054BE,0x0054CA,FUN_0054be,derived,
0x0054CA,0x0054D6,FUN_0054ca,derived,
0x0054D6,0x0054EA,FUN_0054d6,derived,
0x0054EA,0x0054F6,FUN_0054ea,derived,
0x0054F6,0x005502,FUN_0054f6,derived,
0x005502,0x00550E,FUN_005502,derived,
0x00550E,0x00551A,FUN_00550e,derived,
0x00551A,0x005526,FUN_00551a,derived,
0x005526,0x005532,FUN_005526,derived,
0x005532,0x00553E,FUN_005532,derived,
0x00553E,0x005564,FUN_00553e,derived,
0x005564,0x0055A0,FUN_005564,derived,
0x0055A0,0x0055B2,FUN_0055a0,derived,
0x0055B2,0x0055C4,FUN_0055b2,derived,
0x0055C4,0x0055D6,FUN_0055c4,derived,
0x0055D6,0x0055E8,FUN_0055d6,derived,
0x0055E8,0x0055FA,FUN_0055e8,derived,
0x0055FA,0x00560C,FUN_0055fa,derived,
0x00560C,0x00561E,FUN_00560c,derived,
0x00561E,0x005630,FUN_00561e,derived,
0x005630,0x00563C,FUN_005630,derived,
0x00563C,0x005648,FUN_00563c,derived,
0x005648,0x005654,FUN_005648,derived,
0x005654,0x005660,FUN_005654,derived,
0x005660,0x00566C,FUN_005660,derived,
0x00566C,0x00567A,FUN_00566c,derived,
0x00567A,0x00578E,FUN_00567a,derived,
0x00578E,0x00579C,FUN_00578e,derived,
0x00579C,0x0057AA,FUN_00579c,derived,
0x0057AA,0x0057B8,FUN_0057aa,derived,
0x0057B8,0x0057C6,FUN_0057b8,derived,
0x0057C6,0x0058E0,FUN_0057c6,derived,
0x0058E0,0x0058EE,FUN_0058e0,derived,
0x0058EE,0x0058FC,FUN_0058ee,derived,
0x0058FC,0x00590A,FUN_0058fc,derived,
0x00590A,0x005918,FUN_00590a,derived,
0x005918,0x005926,FUN_005918,derived,
0x005926,0x005934,FUN_005926,derived,
