addr,end,name,source,flag
0x0023F4,0x002404,FUN_0023f4,derived,
0x002404,0x002420,FUN_002404,derived,
0x002420,0x002430,complement_shift_u8,ghidra-hand-xmap,
0x002430,0x002440,FUN_002430,derived,
0x002440,0x002460,FUN_002440,derived,
0x002460,0x002478,add16bitSaturate_ADD1_ADD2,ghidra-hand-xmap,
0x002478,0x002490,addSaturate8Bit,ghidra-hand-xmap,
0x002490,0x0024C0,FUN_002490,derived,
0x0024C0,0x0024D0,FUN_0024c0,derived,
0x0024D0,0x002500,FUN_0024d0,derived,
0x002500,0x002510,FUN_002500,derived,
0x002510,0x0025C8,FUN_002510,derived,
0x0025C8,0x0025F4,FUN_0025c8,derived,
0x0025F4,0x002624,FUN_0025f4,derived,
0x002624,0x002658,FUN_002624,derived,
0x002658,0x002678,FUN_002658,derived,
0x002678,0x002690,FUN_002678,derived,
0x002690,0x0026B0,FUN_002690,derived,
0x0026B0,0x0026D0,FUN_0026b0,derived,
0x0026D0,0x0026F4,FUN_0026d0,derived,
0x0026F4,0x003238,FUN_0026f4,derived,
0x003238,0x003280,FUN_003238,derived,
0x003280,0x003588,FUN_003280,derived,
0x003588,0x0035CC,FUN_003588,derived,
0x0035CC,0x0035EE,FUN_0035cc,derived,
0x0035EE,0x003610,FUN_0035ee,derived,
0x003610,0x00366E,FUN_003610,derived,
0x00366E,0x00375C,FUN_00366e,derived,
0x00375C,0x003848,FUN_00375c,derived,
0x003848,0x003854,FUN_003848,derived,
0x003854,0x003920,FUN_003854,derived,
0x003920,0x003934,getSR,ghidra-hand-xmap,
0x003934,0x003954,setSR,ghidra-hand-xmap,
0x003954,0x003964,FUN_003954,derived,
0x003964,0x0039BA,FUN_003964,derived,
0x0039BA,0x003A28,FUN_0039ba,derived,
0x003A28,0x003AC0,consistencyCheck,ghidra-hand-xmap,
0x003AC0,0x003AD8,FUN_003ac0,derived,
0x003AD8,0x003BF4,FUN_003ad8,derived,
0x003BF4,0x003C2A,FUN_003bf4,derived,
0x003C2A,0x003C58,FUN_003c2a,derived,
0x003C58,0x003C80,FUN_003c58,derived,
